,std_dt,ticker,administrative_issues_reason
0,19991228,A000010,
1,20040331,A000010,사유미상
2,20040705,A000010,
3,19991228,A000020,
4,19991228,A000030,
5,20020402,A000030,사유미상
6,20020429,A000030,
7,19991228,A000040,
8,20000104,A000040,사유미상
9,20040601,A000040,
10,19991228,A000050,
11,19991228,A000060,
12,19991228,A000070,
13,19991228,A000080,
14,20000104,A000080,사유미상
15,20030113,A000080,
16,19991228,A000090,
17,19991228,A000100,
18,19991228,A000110,
19,20010402,A000110,사유미상
20,20040330,A000110,
21,19991228,A000120,
22,20001102,A000120,사유미상
23,20080331,A000120,
24,19991228,A000130,
25,19991228,A000140,
26,19991228,A000150,
27,19991228,A000160,
28,19991228,A000170,
29,19991228,A000180,
30,19991228,A000200,
31,20001024,A000200,사유미상
32,20010524,A000200,
33,19991228,A000210,
34,19991228,A000220,
35,19991228,A000230,
36,19991228,A000240,
37,19991228,A000250,
38,19991228,A000270,
39,20000104,A000270,사유미상
40,20000217,A000270,
41,19991228,A000280,
42,20001102,A000280,사유미상
43,20010608,A000280,
44,19991228,A000300,
45,20000104,A000300,사유미상
46,20031222,A000300,
47,19991228,A000310,
48,20000104,A000310,사유미상
49,20011112,A000310,
50,19991228,A000320,
51,19991228,A000330,
52,19991228,A000360,
53,20120717,A000360,회사정리절차 개시 신청
54,20120816,A000360,"반기검토의견 의견거절, 회사정리절차 개시 신청"
55,20130118,A000360,반기검토의견 의견거절
56,20130402,A000360,
57,20150313,A000360,자본잠식(자본금의 50/100이상 잠식)
58,20150415,A000360,
59,19991228,A000370,
60,19991228,A000380,
61,19991228,A000390,
62,19991228,A000400,
63,20010621,A000400,사유미상
64,20020611,A000400,
65,19991228,A000420,
66,20140321,A000420,"자본잠식(자본금의 50/100이상 잠식), 회생절차개시신청"
67,20140901,A000420,"반기검토의견 의견거절, 자본잠식(자본금의 50/100이상 잠식), 회생절차개시신청"
68,20141229,A000420,"반기검토의견 의견거절, 자본잠식(자본금의 50/100이상 잠식)"
69,20150224,A000420,
70,19991228,A000430,
71,19991228,A000440,
72,19991228,A000450,
73,19991228,A000470,
74,20010621,A000470,사유미상
75,20030624,A000470,
76,19991228,A000480,
77,19991228,A000490,
78,19991228,A000500,
79,19991228,A000510,
80,19991228,A000520,
81,19991228,A000530,
82,19991228,A000540,
83,19991228,A000550,
84,19991228,A000570,
85,19991228,A000590,
86,20080401,A000590,사유미상
87,20080612,A000590,
88,19991228,A000600,
89,19991228,A000610,
90,19991228,A000640,
91,19991228,A000650,
92,19991228,A000660,
93,19991228,A000670,
94,19991228,A000680,
95,20000104,A000680,사유미상
96,20071121,A000680,
97,19991228,A000700,
98,19991228,A000720,
99,20010402,A000720,사유미상
100,20010816,A000720,
101,19991228,A000730,
102,19991228,A000760,
103,19991228,A000810,
104,19991228,A000830,
105,19991228,A000840,
106,20000104,A000840,사유미상
107,20000630,A000840,
108,19991228,A000850,
109,19991228,A000860,
110,19991228,A000870,
111,19991228,A000880,
112,19991228,A000890,
113,19991228,A000900,
114,19991228,A000910,
115,19991228,A000930,
116,19991228,A000950,
117,20040102,A000950,사유미상
118,20040401,A000950,
119,19991228,A000970,
120,19991228,A000990,
121,19991228,A001000,
122,20030807,A001000,사유미상
123,20031020,A001000,
124,20040517,A001000,사유미상
125,20050331,A001000,
126,20060403,A001000,사유미상
127,20070306,A001000,
128,20081001,A001000,사유미상
129,20090102,A001000,
130,20150416,A001000,주식분산기준미달
131,20160412,A001000,
132,19991228,A001020,
133,20010402,A001020,사유미상
134,20030304,A001020,
135,19991228,A001030,
136,20010625,A001030,사유미상
137,20020812,A001030,
138,19991228,A001040,
139,19991228,A001060,
140,19991228,A001070,
141,19991228,A001080,
142,19991228,A001090,
143,19991228,A001120,
144,19991228,A001130,
145,19991228,A001140,
146,19991228,A001150,
147,20030818,A001150,사유미상
148,20031006,A001150,
149,19991228,A001160,
150,19991228,A001170,
151,19991228,A001190,
152,20080818,A001190,사유미상
153,20090324,A001190,반기검토의견 의견거절
154,20090403,A001190,
155,19991228,A001200,
156,19991228,A001210,
157,19991228,A001230,
158,20030423,A001230,사유미상
159,20031023,A001230,
160,19991228,A001250,
161,20010402,A001250,사유미상
162,20020328,A001250,
163,19991228,A001260,
164,20120802,A001260,회사정리절차 개시 신청
165,20120810,A001260,회사정리절차 개시 결정
166,20120816,A001260,"반기검토의견 의견거절, 회사정리절차 개시 결정"
167,20130402,A001260,"자본잠식(자본금의 50/100이상 잠식), 회사정리절차 개시 결정"
168,20140331,A001260,회사정리절차 개시 결정
169,20160205,A001260,
170,19991228,A001270,
171,19991228,A001280,
172,19991228,A001290,
173,20030701,A001290,사유미상
174,20051114,A001290,
175,19991228,A001300,
176,19991228,A001340,
177,19991228,A001350,
178,20000104,A001350,사유미상
179,20000630,A001350,
180,19991228,A001360,
181,20000104,A001360,사유미상
182,20020325,A001360,
183,19991228,A001370,
184,19991228,A001380,
185,20021122,A001380,사유미상
186,20071121,A001380,
187,20090401,A001380,주식분포요건 미충족(소액주주 주식수 10/100미만)
188,20090403,A001380,
189,20090504,A001380,주식분포요건 미충족(소액주주 주식수 10/100미만)
190,20090601,A001380,
191,20130401,A001380,소액주주지주비율 10/100미만
192,20130530,A001380,
193,19991228,A001390,
194,20000104,A001390,사유미상
195,20040226,A001390,
196,19991228,A001400,
197,20001122,A001400,사유미상
198,20010425,A001400,
199,19991228,A001420,
200,19991228,A001430,
201,20000104,A001430,사유미상
202,20040213,A001430,
203,19991228,A001440,
204,20150323,A001440,자본잠식(자본금의 50/100이상 잠식)
205,20160318,A001440,
206,19991228,A001450,
207,19991228,A001460,
208,19991228,A001470,
209,20110414,A001470,회생절차개시신청
210,20110629,A001470,
211,20150818,A001470,반기검토의견 의견거절
212,20150819,A001470,"반기검토의견 의견거절, 회생절차개시신청"
213,20151117,A001470,"반기검토의견 의견거절, 보고서 미제출(분기보고서), 회생절차개시신청"
214,20160201,A001470,"반기검토의견 의견거절, 회생절차개시신청"
215,20160331,A001470,회생절차개시신청
216,20171013,A001470,
217,19991228,A001500,
218,19991228,A001510,
219,19991228,A001520,
220,20131001,A001520,회사정리절차 개시 신청
221,20140401,A001520,"자본잠식(자본금의 50/100이상 잠식), 회사정리절차 개시 신청"
222,20150330,A001520,회사정리절차 개시 신청
223,20160204,A001520,
224,19991228,A001530,
225,19991228,A001540,
226,19991228,A001550,
227,19991228,A001560,
228,19991228,A001570,
229,19991228,A001580,
230,20000104,A001580,사유미상
231,20020603,A001580,
232,20040108,A001580,사유미상
233,20040322,A001580,
234,20050630,A001580,사유미상
235,20050808,A001580,
236,19991228,A001600,
237,20000104,A001600,사유미상
238,20031020,A001600,
239,20090401,A001600,자본잠식(자본금의 50/100이상 잠식)
