,std_dt,symbol,administrative_issues
0,19991228,A000010,
1,20040331,A000010,관리
2,20040705,A000010,
3,19991228,A000020,
4,19991228,A000030,
5,20020402,A000030,관리
6,20020429,A000030,
7,19991228,A000040,
8,20000104,A000040,관리
9,20040601,A000040,
10,19991228,A000050,
11,19991228,A000060,
12,19991228,A000070,
13,19991228,A000080,
14,20000104,A000080,관리
15,20030113,A000080,
16,19991228,A000090,
17,19991228,A000100,
18,19991228,A000110,
19,20010402,A000110,관리
20,20040330,A000110,
21,19991228,A000120,
22,20001102,A000120,관리
23,20080331,A000120,
24,19991228,A000130,
25,19991228,A000140,
26,19991228,A000150,
27,19991228,A000160,
28,19991228,A000170,
29,19991228,A000180,
30,19991228,A000200,
31,20001024,A000200,관리
32,20010524,A000200,
33,19991228,A000210,
34,19991228,A000220,
35,19991228,A000230,
36,19991228,A000240,
37,19991228,A000250,
38,19991228,A000270,
39,20000104,A000270,관리
40,20000217,A000270,
41,19991228,A000280,
42,20001102,A000280,관리
43,20010608,A000280,
44,19991228,A000300,
45,20000104,A000300,관리
46,20031222,A000300,
47,19991228,A000310,
48,20000104,A000310,관리
49,20011112,A000310,
50,19991228,A000320,
51,19991228,A000330,
52,19991228,A000360,
53,20120717,A000360,관리
54,20130402,A000360,
55,20150313,A000360,관리
56,20150415,A000360,
57,19991228,A000370,
58,19991228,A000380,
59,19991228,A000390,
60,19991228,A000400,
61,20010621,A000400,관리
62,20020611,A000400,
63,19991228,A000420,
64,20140321,A000420,관리
65,20150224,A000420,
66,19991228,A000430,
67,19991228,A000440,
68,19991228,A000450,
69,19991228,A000470,
70,20010621,A000470,관리
71,20030624,A000470,
72,19991228,A000480,
73,19991228,A000490,
74,19991228,A000500,
75,19991228,A000510,
76,19991228,A000520,
77,19991228,A000530,
78,19991228,A000540,
79,19991228,A000550,
80,19991228,A000570,
81,19991228,A000590,
82,20080401,A000590,관리
83,20080612,A000590,
84,19991228,A000600,
85,19991228,A000610,
86,19991228,A000640,
87,19991228,A000650,
88,19991228,A000660,
89,19991228,A000670,
90,19991228,A000680,
91,20000104,A000680,관리
92,20071121,A000680,
93,19991228,A000700,
94,19991228,A000720,
95,20010402,A000720,관리
96,20010816,A000720,
97,19991228,A000730,
98,19991228,A000760,
99,19991228,A000810,
100,19991228,A000830,
101,19991228,A000840,
102,20000104,A000840,관리
103,20000630,A000840,
104,19991228,A000850,
105,19991228,A000860,
106,19991228,A000870,
107,19991228,A000880,
108,19991228,A000890,
109,19991228,A000900,
110,19991228,A000910,
111,19991228,A000930,
112,19991228,A000950,
113,20040102,A000950,관리
114,20040401,A000950,
115,19991228,A000970,
116,19991228,A000990,
117,19991228,A001000,
118,20030807,A001000,관리
119,20031020,A001000,
120,20040517,A001000,관리
121,20050331,A001000,
122,20060403,A001000,관리
123,20070306,A001000,
124,20081001,A001000,관리
125,20090102,A001000,
126,20150416,A001000,관리
127,20160412,A001000,
128,19991228,A001020,
129,20010402,A001020,관리
130,20030304,A001020,
131,19991228,A001030,
132,20010625,A001030,관리
133,20020812,A001030,
134,19991228,A001040,
135,19991228,A001060,
136,19991228,A001070,
137,19991228,A001080,
138,19991228,A001090,
139,19991228,A001120,
140,19991228,A001130,
141,19991228,A001140,
142,19991228,A001150,
143,20030818,A001150,관리
144,20031006,A001150,
145,19991228,A001160,
146,19991228,A001170,
147,19991228,A001190,
148,20080818,A001190,관리
149,20090403,A001190,
150,19991228,A001200,
151,19991228,A001210,
152,19991228,A001230,
153,20030423,A001230,관리
154,20031023,A001230,
155,19991228,A001250,
156,20010402,A001250,관리
157,20020328,A001250,
158,19991228,A001260,
159,20120802,A001260,관리
160,20160205,A001260,
161,19991228,A001270,
162,19991228,A001280,
163,19991228,A001290,
164,20030701,A001290,관리
165,20051114,A001290,
166,19991228,A001300,
167,19991228,A001340,
168,19991228,A001350,
169,20000104,A001350,관리
170,20000630,A001350,
171,19991228,A001360,
172,20000104,A001360,관리
173,20020325,A001360,
174,19991228,A001370,
175,19991228,A001380,
176,20021122,A001380,관리
177,20071121,A001380,
178,20090401,A001380,관리
179,20090403,A001380,
180,20090504,A001380,관리
181,20090601,A001380,
182,20130401,A001380,관리
183,20130530,A001380,
184,19991228,A001390,
185,20000104,A001390,관리
186,20040226,A001390,
187,19991228,A001400,
188,20001122,A001400,관리
189,20010425,A001400,
190,19991228,A001420,
