,std_dt,symbol,currency
0,19991228,A000010,KRW
1,19991228,A000020,KRW
2,19991228,A000030,KRW
3,20141119,A000030,KRW
4,19991228,A000040,KRW
5,19991228,A000050,KRW
6,19991228,A000060,KRW
7,19991228,A000070,KRW
8,19991228,A000080,KRW
9,20091019,A000080,KRW
10,19991228,A000100,KRW
11,19991228,A000110,KRW
12,19991228,A000120,KRW
13,19991228,A000140,KRW
14,19991228,A000150,KRW
15,19991228,A000180,KRW
16,19991228,A000200,KRW
17,19991228,A000210,KRW
18,19991228,A000220,KRW
19,19991228,A000230,KRW
20,19991228,A000240,KRW
21,20001004,A000250,KRW
22,19991228,A000270,KRW
23,19991228,A000280,KRW
24,19991228,A000300,KRW
25,19991228,A000310,KRW
26,19991228,A000320,KRW
27,19991228,A000360,KRW
28,19991228,A000370,KRW
29,19991228,A000380,KRW
30,19991228,A000390,KRW
31,19991228,A000400,KRW
32,19991228,A000420,KRW
33,19991228,A000430,KRW
34,19991228,A000440,KRW
35,19991228,A000470,KRW
36,19991228,A000480,KRW
37,19991228,A000490,KRW
38,19991228,A000500,KRW
39,19991228,A000520,KRW
40,19991228,A000540,KRW
41,19991228,A000590,KRW
42,19991228,A000610,KRW
43,19991228,A000640,KRW
44,19991228,A000650,KRW
45,19991228,A000660,KRW
46,19991228,A000670,KRW
47,19991228,A000680,KRW
48,19991228,A000700,KRW
49,19991228,A000720,KRW
50,19991228,A000760,KRW
51,19991228,A000790,KRW
52,19991228,A000800,KRW
53,19991228,A000810,KRW
54,19991228,A000830,KRW
55,19991228,A000840,KRW
56,19991228,A000850,KRW
57,19991228,A000860,KRW
58,19991228,A000880,KRW
59,19991228,A000890,KRW
60,19991228,A000900,KRW
61,19991228,A000910,KRW
62,19991228,A000950,KRW
63,19991228,A000970,KRW
64,19991228,A000980,KRW
65,19991228,A000990,KRW
66,19991228,A001000,KRW
67,19991228,A001020,KRW
68,19991228,A001030,KRW
69,19991228,A001040,KRW
70,19991228,A001060,KRW
71,19991228,A001070,KRW
72,19991228,A001080,KRW
73,19991228,A001110,KRW
74,19991228,A001120,KRW
75,19991228,A001130,KRW
76,19991228,A001140,KRW
77,19991228,A001150,KRW
78,19991228,A001190,KRW
79,19991228,A001200,KRW
80,19991228,A001210,KRW
81,19991228,A001230,KRW
82,19991228,A001250,KRW
83,19991228,A001260,KRW
84,19991228,A001270,KRW
85,19991228,A001280,KRW
86,19991228,A001290,KRW
87,19991228,A001300,KRW
88,19991228,A001310,KRW
89,19991228,A001340,KRW
90,19991228,A001350,KRW
91,19991228,A001360,KRW
92,19991228,A001370,KRW
93,19991228,A001380,KRW
94,19991228,A001390,KRW
95,19991228,A001400,KRW
96,19991228,A001420,KRW
97,19991228,A001430,KRW
98,19991228,A001440,KRW
99,19991228,A001450,KRW
100,19991228,A001460,KRW
101,19991228,A001470,KRW
102,19991228,A001490,KRW
103,19991228,A001500,KRW
104,19991228,A001510,KRW
105,19991228,A001520,KRW
106,19991228,A001530,KRW
107,20000615,A001540,KRW
108,19991228,A001550,KRW
109,20051209,A001560,KRW
110,19991228,A001570,KRW
111,19991228,A001580,KRW
112,19991228,A001590,KRW
113,19991228,A001600,KRW
114,19991228,A001620,KRW
115,19991228,A001630,KRW
116,19991228,A001670,KRW
117,19991228,A001680,KRW
118,19991228,A001690,KRW
119,19991228,A001720,KRW
120,19991228,A001740,KRW
121,19991228,A001750,KRW
122,19991228,A001770,KRW
123,19991228,A001780,KRW
124,20070607,A001780,KRW
125,19991228,A001790,KRW
126,19991228,A001800,KRW
127,20000104,A001810,KRW
128,19991228,A001820,KRW
129,19991228,A001830,KRW
130,19991228,A001840,KRW
131,19991228,A001850,KRW
132,19991228,A001880,KRW
133,19991228,A001890,KRW
134,19991228,A001920,KRW
135,19991228,A001940,KRW
136,19991228,A001950,KRW
137,19991228,A001970,KRW
138,19991228,A001980,KRW
139,19991228,A002000,KRW
140,19991228,A002020,KRW
141,19991228,A002030,KRW
142,19991228,A002050,KRW
143,19991228,A002070,KRW
144,19991228,A002080,KRW
145,19991228,A002100,KRW
146,19991228,A002130,KRW
147,19991228,A002140,KRW
148,20100812,A002150,KRW
149,19991228,A002170,KRW
150,19991228,A002180,KRW
