,std_dt,symbol,issued_sh
0,19991228,A000010,679078115
1,20020117,A000010,679080833
2,20020124,A000010,679080843
3,20020131,A000010,679080849
4,20020207,A000010,679080874
5,20020228,A000010,679080888
6,20020307,A000010,679082615
7,20020314,A000010,679082619
8,20020328,A000010,679087412
9,20020404,A000010,679089643
10,20020411,A000010,679096142
11,20020418,A000010,679099513
12,20020425,A000010,679111544
13,20020503,A000010,679116261
14,20020509,A000010,679116268
15,20020516,A000010,679118036
16,20020523,A000010,679118227
17,20020530,A000010,679118256
18,20020607,A000010,679118297
19,20020614,A000010,679118309
20,20020620,A000010,679118319
21,20020627,A000010,679118346
22,20020705,A000010,679118357
23,20020725,A000010,679118364
24,20020905,A000010,679118372
25,20020912,A000010,679118413
26,20021004,A000010,679118420
27,20021017,A000010,679118425
28,20021028,A000010,679118429
29,20031230,A000010,719118429
30,20040702,A000010,0
31,19991228,A000020,5224248
32,20000107,A000020,5244679
33,20000207,A000020,5251981
34,20000307,A000020,5260665
35,20000406,A000020,5261288
36,20000519,A000020,5262898
37,20000607,A000020,5265730
38,20000627,A000020,5423568
39,20010626,A000020,5586273
40,20010706,A000020,5586294
41,20090720,A000020,27931470
42,19991228,A000030,874502352
43,20010115,A000030,552880000
44,20020429,A000030,0
45,20141119,A000030,676278371
46,20151014,A000030,676000000
47,20190213,A000030,0
48,19991228,A000040,10786206
49,20020114,A000040,1077580
50,20030327,A000040,10205093
51,20030903,A000040,10205100
52,20031218,A000040,77205100
53,20040817,A000040,77660110
54,20041110,A000040,93109021
55,20050418,A000040,101109021
56,20051229,A000040,102946959
57,20070507,A000040,110592218
58,20100625,A000040,111467134
59,20100702,A000040,112517033
60,20100819,A000040,113566932
61,20101015,A000040,114616831
62,20101026,A000040,119341379
63,20150421,A000040,175307764
64,20160518,A000040,175755970
65,20160617,A000040,175905372
66,20161017,A000040,176129474
67,20170629,A000040,177381038
68,20170719,A000040,180509948
69,20170721,A000040,181761512
70,20170913,A000040,184864725
71,20170918,A000040,187770402
72,20171011,A000040,187815545
73,20171019,A000040,188265520
74,20180112,A000040,119759667
75,20180918,A000040,128982090
76,20190109,A000040,189444075
77,20200219,A000040,47361018
78,20200526,A000040,91661018
79,19991228,A000050,1594362
80,20020903,A000050,2080000
81,20130124,A000050,2492298
82,20140124,A000050,2741527
83,20161028,A000050,27415270
84,19991228,A000060,8580000
85,20060223,A000060,85800000
86,20070903,A000060,123800000
87,20110411,A000060,87269690
88,20111010,A000060,96700000
89,20130513,A000060,101328800
90,20141027,A000060,105963000
91,20160530,A000060,110338000
92,20180720,A000060,113680000
93,20201127,A000060,120625000
94,19991228,A000070,11400249
95,20010926,A000070,11647536
96,20020313,A000070,11692644
97,20020325,A000070,11727728
98,20020327,A000070,11757800
99,20020404,A000070,11878088
100,20021018,A000070,9843664
101,20080324,A000070,10018079
102,20111205,A000070,5756186
103,20120725,A000070,7704997
104,20130325,A000070,8170465
105,20141230,A000070,8564271
106,19991228,A000080,12994090
107,20030110,A000080,0
108,20091019,A000080,42995303
109,20100406,A000080,42495303
110,20100610,A000080,41995303
