,std_dt,symbol,issues_suspended_from_trading_reason
0,19991228,A000010,
1,20040331,A000010,사유미상
2,20040401,A000010,
3,20040618,A000010,사유미상
4,20040705,A000010,
5,19991228,A000020,
6,20090630,A000020,"주식의 병합, 분할 등 전자등록 변경, 말소"
7,20090720,A000020,
8,19991228,A000030,
9,20001219,A000030,사유미상
10,20020429,A000030,
11,20190109,A000030,"주식의 병합, 분할 등 전자등록 변경, 말소"
12,20190213,A000030,
13,19991228,A000040,
14,20011220,A000040,사유미상
15,20020114,A000040,
16,20020401,A000040,사유미상
17,20021021,A000040,
18,20030821,A000040,사유미상
19,20030903,A000040,
20,20171221,A000040,"주식의 병합, 분할 등 전자등록 변경, 말소"
21,20180112,A000040,
22,20200204,A000040,"주식의 병합, 분할 등 전자등록 변경, 말소"
23,20200219,A000040,
24,19991228,A000050,
25,20161011,A000050,"주식의 병합, 분할 등 전자등록 변경, 말소"
26,20161028,A000050,
27,19991228,A000060,
28,20060217,A000060,사유미상
29,20060223,A000060,
30,20110323,A000060,"주식의 병합, 분할 등 전자등록 변경, 말소"
31,20110411,A000060,
32,19991228,A000070,
33,20111026,A000070,"주식의 병합, 분할 등 전자등록 변경, 말소"
34,20111205,A000070,
35,19991228,A000080,
36,20021209,A000080,사유미상
37,20021216,A000080,
38,19991228,A000090,
39,19991228,A000100,
40,20200403,A000100,"주식의 병합, 분할 등 전자등록 변경, 말소"
41,20200408,A000100,
42,19991228,A000110,
43,20000104,A000110,사유미상
44,20050425,A000110,
45,19991228,A000120,
46,20001102,A000120,사유미상
47,20001103,A000120,
48,20010716,A000120,사유미상
49,20010803,A000120,
50,20090504,A000120,"주식의 병합, 분할 등 전자등록 변경, 말소"
51,20090515,A000120,
52,19991228,A000130,
53,19991228,A000140,
54,19991228,A000150,
55,20040525,A000150,사유미상
56,20040527,A000150,
57,20190927,A000150,"주식의 병합, 분할 등 전자등록 변경, 말소"
58,20191018,A000150,
59,19991228,A000160,
60,19991228,A000170,
61,19991228,A000180,
62,20160415,A000180,"주식의 병합, 분할 등 전자등록 변경, 말소"
63,20160511,A000180,
64,19991228,A000200,
65,20000427,A000200,사유미상
66,20000515,A000200,
67,20001019,A000200,사유미상
68,20010202,A000200,
69,20010427,A000200,사유미상
70,20010502,A000200,
71,19991228,A000210,
72,19991228,A000220,
73,20060202,A000220,사유미상
74,20060208,A000220,
75,19991228,A000230,
76,20110421,A000230,"주식의 병합, 분할 등 전자등록 변경, 말소"
77,20110512,A000230,
78,20160728,A000230,"주식의 병합, 분할 등 전자등록 변경, 말소"
79,20160831,A000230,
80,19991228,A000240,
81,20120830,A000240,"주식의 병합, 분할 등 전자등록 변경, 말소"
82,20121004,A000240,
83,19991228,A000250,
84,20020418,A000250,사유미상
85,20020422,A000250,
86,19991228,A000270,
87,19991228,A000280,
88,20001102,A000280,사유미상
89,20001103,A000280,
90,20010209,A000280,사유미상
91,20010516,A000280,
92,19991228,A000300,
93,20020415,A000300,사유미상
94,20020507,A000300,
95,20031208,A000300,사유미상
96,20031209,A000300,
97,20060224,A000300,사유미상
98,20060321,A000300,
99,19991228,A000310,
100,20010719,A000310,사유미상
101,20010806,A000310,
102,20011004,A000310,사유미상
103,20011022,A000310,
104,19991228,A000320,
105,20020403,A000320,사유미상
106,20020408,A000320,
107,20021122,A000320,사유미상
108,20021125,A000320,
109,20060526,A000320,사유미상
110,20060623,A000320,
111,20120614,A000320,불성실공시법인지정
112,20120615,A000320,
113,19991228,A000330,
114,19991228,A000360,
115,20120717,A000360,"법정관리(화의)신청, 종결, 폐지"
116,20120724,A000360,
117,20121227,A000360,"주식의 병합, 분할 등 전자등록 변경, 말소"
118,20130125,A000360,
119,20130418,A000360,기타공익과투자자보호및시장관리상
120,20130509,A000360,
121,20150216,A000360,기타공익과투자자보호및시장관리상
122,20150406,A000360,
123,19991228,A000370,
124,20040326,A000370,사유미상
125,20040428,A000370,
126,19991228,A000380,
127,20040702,A000380,사유미상
128,20040705,A000380,
129,20040917,A000380,사유미상
130,20041021,A000380,
131,19991228,A000390,
132,20000406,A000390,사유미상
133,20000410,A000390,
134,19991228,A000400,
135,20010621,A000400,사유미상
136,20010622,A000400,
137,20011203,A000400,사유미상
138,20020128,A000400,
139,20040616,A000400,사유미상
140,20040617,A000400,
141,20060503,A000400,사유미상
142,20060517,A000400,
143,19991228,A000420,
144,20070228,A000420,사유미상
145,20070326,A000420,
146,20130306,A000420,"주식의 병합, 분할 등 전자등록 변경, 말소"
147,20130325,A000420,
148,20130521,A000420,기타공익과투자자보호
149,20130522,A000420,
150,20130618,A000420,기타공익과투자자보호
151,20130619,A000420,
152,20140321,A000420,감사의견거절(발행 ELW 포함)
153,20150210,A000420,
154,19991228,A000430,
155,19991228,A000440,
156,20110822,A000440,"주식의 병합, 분할 등 전자등록 변경, 말소"
157,20110906,A000440,
158,20181203,A000440,"주식의 병합, 분할 등 전자등록 변경, 말소"
159,20181206,A000440,
160,19991228,A000450,
161,19991228,A000470,
162,20010621,A000470,사유미상
163,20010622,A000470,
164,20020116,A000470,사유미상
165,20020805,A000470,
166,20120530,A000470,기타공익과투자자보호및시장관리상
167,20120705,A000470,
168,19991228,A000480,
169,19991228,A000490,
170,20100422,A000490,"주식의 병합, 분할 등 전자등록 변경, 말소"
171,20100517,A000490,
172,19991228,A000500,
173,19991228,A000510,
174,19991228,A000520,
175,20060417,A000520,사유미상
176,20060424,A000520,
177,19991228,A000530,
178,19991228,A000540,
179,20030609,A000540,사유미상
180,20030610,A000540,
181,20030926,A000540,사유미상
182,20031028,A000540,
183,19991228,A000550,
184,19991228,A000570,
185,19991228,A000590,
186,20091229,A000590,"주식의 병합, 분할 등 전자등록 변경, 말소"
187,20100127,A000590,
188,19991228,A000600,
189,19991228,A000610,
190,20091224,A000610,"주식의 병합, 분할 등 전자등록 변경, 말소"
191,20100120,A000610,
192,19991228,A000640,
193,20130227,A000640,"주식의 병합, 분할 등 전자등록 변경, 말소"
194,20130408,A000640,
195,20170816,A000640,풍문등관련주가및거래량급변
196,20170817,A000640,기타공익과투자자보호및시장관리상
197,20170904,A000640,
198,19991228,A000650,
199,20050704,A000650,사유미상
200,20050705,A000650,
201,19991228,A000660,
202,20030327,A000660,사유미상
203,20030414,A000660,
204,19991228,A000670,
205,19991228,A000680,
206,20000502,A000680,사유미상
207,20000601,A000680,
208,20050325,A000680,사유미상
209,20070625,A000680,
210,20100413,A000680,"주식의 병합, 분할 등 전자등록 변경, 말소"
211,20100511,A000680,
212,19991228,A000700,
213,20091127,A000700,"주식의 병합, 분할 등 전자등록 변경, 말소"
214,20091229,A000700,
215,20140529,A000700,"주식의 병합, 분할 등 전자등록 변경, 말소"
216,20140620,A000700,
