,std_dt,symbol,kospi100
0,20000104,A000010,N
1,20010102,A000010,Y
2,20011227,A000010,N
3,20020102,A000010,Y
4,20040331,A000010,N
5,20000104,A000020,N
6,20000104,A000030,N
7,20141119,A000030,N
8,20141120,A000030,Y
9,20000104,A000040,N
10,20000104,A000050,N
11,20000104,A000060,N
12,20000104,A000070,N
13,20010102,A000070,Y
14,20011227,A000070,N
15,20020102,A000070,Y
16,20041210,A000070,N
17,20041221,A000070,Y
18,20080613,A000070,N
19,20000104,A000080,N
20,20091019,A000080,N
21,20201211,A000080,Y
22,20000104,A000100,N
23,20010102,A000100,Y
24,20011227,A000100,N
25,20020102,A000100,Y
26,20000104,A000110,N
27,20000104,A000120,N
28,20090612,A000120,Y
29,20000104,A000140,N
30,20010102,A000140,Y
31,20011227,A000140,N
32,20020102,A000140,Y
33,20100611,A000140,N
34,20000104,A000150,N
35,20010102,A000150,Y
36,20011227,A000150,N
37,20020102,A000150,Y
38,20050610,A000150,N
39,20080613,A000150,Y
40,20200612,A000150,N
41,20000104,A000180,N
42,20000104,A000200,N
43,20000104,A000210,N
44,20010102,A000210,Y
45,20011227,A000210,N
46,20020102,A000210,Y
47,20000104,A000220,N
48,20000104,A000230,N
49,20000104,A000240,N
50,20010102,A000240,Y
51,20011227,A000240,N
52,20020102,A000240,Y
53,20130614,A000240,N
54,20001004,A000250,N
55,20000104,A000270,N
56,20010102,A000270,Y
57,20011227,A000270,N
58,20020102,A000270,Y
59,20000104,A000280,N
60,20000104,A000300,N
61,20000104,A000310,N
62,20000104,A000320,N
63,20000104,A000360,N
64,20000104,A000370,N
65,20000104,A000380,N
66,20000104,A000390,N
67,20000104,A000400,N
68,20000104,A000420,N
69,20000104,A000430,N
70,20000104,A000440,N
71,20000104,A000470,N
72,20000104,A000480,N
73,20000104,A000490,N
74,20000104,A000500,N
75,20000104,A000520,N
76,20000104,A000540,N
77,20000104,A000590,N
78,20000104,A000610,N
79,20000104,A000640,N
80,20010615,A000640,Y
81,20011227,A000640,N
82,20020102,A000640,Y
83,20040611,A000640,N
84,20000104,A000650,N
