,std_dt,symbol,market
0,20000104,A000010,KSE
1,20000104,A000020,KSE
2,20000104,A000030,KSE
3,20141119,A000030,KSE
4,20000104,A000040,KSE
5,20000104,A000050,KSE
6,20000104,A000060,KSE
7,20000104,A000070,KSE
8,20000104,A000080,KSE
9,20091019,A000080,KSE
10,20000104,A000100,KSE
11,20000104,A000110,KSE
12,20000104,A000120,KSE
13,20000104,A000140,KSE
14,20000104,A000150,KSE
15,20000104,A000180,KSE
16,20000104,A000200,KSE
17,20000104,A000210,KSE
18,20000104,A000220,KSE
19,20000104,A000230,KSE
20,20000104,A000240,KSE
21,20001004,A000250,KOSDAQ
22,20000104,A000270,KSE
23,20000104,A000280,KSE
24,20000104,A000300,KSE
25,20000104,A000310,KSE
26,20000104,A000320,KSE
27,20000104,A000360,KSE
28,20000104,A000370,KSE
29,20000104,A000380,KOSDAQ
30,20000104,A000390,KSE
31,20000104,A000400,KSE
32,20000104,A000420,KSE
33,20000104,A000430,KSE
34,20000104,A000440,KOSDAQ
35,20000104,A000470,KSE
36,20000104,A000480,KSE
37,20000104,A000490,KSE
38,20000104,A000500,KSE
39,20000104,A000520,KSE
40,20000104,A000540,KSE
41,20000104,A000590,KSE
42,20000104,A000610,KSE
43,20000104,A000640,KSE
44,20000104,A000650,KSE
45,20000104,A000660,KSE
46,20000104,A000670,KSE
47,20000104,A000680,KSE
48,20000104,A000700,KSE
49,20000104,A000720,KSE
50,20000104,A000760,KSE
51,20000104,A000810,KSE
52,20000104,A000830,KSE
53,20000104,A000840,KSE
54,20000104,A000850,KSE
55,20000104,A000860,KSE
56,20000104,A000880,KSE
57,20000104,A000890,KSE
58,20000104,A000900,KSE
59,20000104,A000910,KSE
60,20000104,A000950,KSE
61,20000104,A000970,KSE
62,20000104,A000990,KSE
63,20000104,A001000,KOSDAQ
64,20000104,A001020,KSE
65,20000104,A001030,KSE
66,20000104,A001040,KSE
67,20000104,A001060,KSE
68,20000104,A001070,KSE
69,20000104,A001080,KSE
70,20000104,A001120,KSE
71,20000104,A001130,KSE
72,20000104,A001140,KSE
73,20000104,A001150,KSE
74,20000104,A001190,KSE
75,20000104,A001200,KSE
76,20000104,A001210,KSE
77,20000104,A001230,KSE
78,20000104,A001250,KSE
79,20000104,A001260,KSE
80,20000104,A001270,KSE
81,20000104,A001280,KSE
82,20000104,A001290,KSE
83,20000104,A001300,KSE
84,20000104,A001340,KSE
85,20000104,A001350,KSE
86,20000104,A001360,KSE
87,20000104,A001370,KSE
88,20000104,A001380,KSE
89,20000104,A001390,KSE
90,20000104,A001400,KSE
91,20000104,A001420,KSE
92,20000104,A001430,KSE
93,20000104,A001440,KSE
94,20000104,A001450,KSE
95,20000104,A001460,KSE
96,20000104,A001470,KSE
97,20000104,A001500,KSE
98,20000104,A001510,KSE
99,20000104,A001520,KSE
100,20000104,A001530,KSE
101,20000615,A001540,KOSDAQ
102,20000104,A001550,KSE
103,20051209,A001560,KSE
104,20000104,A001570,KSE
105,20000104,A001580,KSE
106,20000104,A001600,KSE
107,20000104,A001620,KSE
