ticker,init_listed_dt
A005930,19750611
A000660,19961226
A051910,20010425
A207940,20161110
A068270,20050719
A035420,20021029
A005380,19740628
A006400,19790227
A035720,19991109
A000270,19730721
A051900,20010425
A091990,20170728
A012330,19890905
A028260,20141218
A005490,19880610
A017670,19891107
A105560,20081010
A036570,20000711
A055550,20010910
A034730,20091111
A096770,20070725
A015760,19890810
A066570,20020422
A032830,20100512
A018260,20141114
A003550,19700213
A326030,20200702
A009150,19790227
A090430,20060629
A033780,19991008
A251270,20170512
A086790,20051212
A011170,19910530
A000810,19750630
A068760,20060203
A018880,19960731
A010950,19870527
A003670,20011101
A019170,19900120
A009540,19940627
A010130,19900728
A009830,19740619
A316140,20190213
A086280,20051226
A024110,19941130
A030200,19981223
A034220,20040723
A006800,19750930
A352820,20201015
A097950,20070928
A096530,20100910
A034020,20001025
A004020,19870523
A032640,20000921
A021240,19960826
A035250,20011025
A271560,20170707
A196170,20141212
A028300,19960720
A161390,20121004
A008930,19880620
A003490,19660318
A267250,20170510
A002790,19730430
A006280,19890801
A000100,19621101
A011200,19951005
A010140,19940128
A285130,20180105
A139480,20110610
A071050,20030721
A000720,19841222
A011780,19880122
A128940,20100730
A029780,20070627
A011070,20080724
A016360,19880328
A000120,19560702
A003410,19750503
A004990,19740216
A180640,20130916
A336260,20191018
A078930,20040805
A293490,20200910
A005940,19750930
A263750,20170914
A005830,19730628
A008770,19910312
A011790,19970718
A247540,20190305
A012750,19960130
A012510,19881028
A032500,20000321
A036490,19991211
A026960,19951227
A039490,20040423
A241560,20161118
A000210,19760202
A006360,19810803
A035760,19991120
A042660,20010202
A023530,20060209
A095700,20090915
A036460,19991215
A003090,19730626
A081660,20100928
A307950,20190328
A007070,20111223
A112610,20141127
A008560,19920115
A028050,19961224
A253450,20171124
A009240,20020716
A047810,20110630
A204320,20141006
A030000,19980303
A001040,19730629
A004170,19850819
A145020,20151224
A006260,19770630
A000080,19730627
A020150,20110304
A088350,20100317
A282330,20171208
A028670,20070921
A240810,20160502
A001450,19890825
A235980,20191219
A007310,19940812
A010620,19831220
A185750,20131206
A003000,19880805
A357780,20200806
A009420,19891218
A000880,19760624
A000060,19560702
A078340,20070706
A237690,20160623
A138930,20110330
A047050,20010323
A064350,20131030
A014680,19890520
A058470,20011218
A047040,20010323
A004370,19760630
A010120,19940711
A042670,20010202
A005250,19780828
A005290,19991218
A294870,20180612
A039200,20070117
A004800,19730630
A278280,20190211
A017800,19960703
A069960,20021125
A002380,19730625
A272210,20191113
A200130,20140723
A010060,19850709
A141080,20130510
A066970,20030102
A010780,19860127
A140410,20120120
A069620,20021101
A000990,19751212
A000250,20001004
A060250,20020108
A336370,20191018
A003520,19730625
A111770,20090730
A006650,19990811
A034230,20021105
A268600,20181109
A013890,19890530
A181710,20130829
A012450,19870527
A000240,19681227
A004000,19760415
A138040,20110513
A035900,20010830
A051600,20071214
A098460,20080603
A011210,20110221
A056190,20011218
A007700,19841004
A086900,20090116
A067630,20081125
A298380,20181219
A039030,20000824
A030190,20000516
A084850,20191107
A005690,19880520
A139130,20110607
A214320,20150717
A064760,20030818
A323990,20200922
A001440,19681227
A069080,20030523
A007570,19740828
A175330,20130718
A006120,19760629
A046890,20020117
A086450,20070529
A001740,19770630
A032350,20060608
A031430,20110714
A016380,19860203
A073240,20050217
A011000,19871116
A178920,20141208
A084990,20051229
A192080,20151104
A022100,20001128
A120110,20100201
A085660,20051227
A086520,20070720
A161890,20121019
A114090,20091119
A003690,19691222
A271980,20170717
A214150,20150403
A020560,19991222
A057050,20100913
A088800,20060327
A005300,19730621
A000670,19760612
A018670,19970827
A069260,20021007
A023590,19970827
A001120,19760130
A192820,20140407
A218410,20150630
A093370,20061222
A101490,20090414
A028150,20000120
A009900,20201207
A082270,20050624
A003850,19881024
A183490,20130925
A001680,19700401
A053030,20010807
A363280,20200922
A284740,20180111
A178320,20170327
A041960,20011030
A000150,19730629
A036540,20010502
A215600,20161206
A025900,19950731
A108320,20100608
A144510,20160623
A122870,20111123
A079160,20041224
A241590,20161004
A005440,19890822
A001800,19750627
A003240,19751227
A033270,19991109
A058820,20010831
A950130,20130530
A192650,20190314
A131370,20110105
A006040,19890307
A230360,20160808
A298020,20180713
A005850,19881108
A290650,20181101
A103140,20080730
A011930,19960731
A000640,19700210
A039130,20001128
A210980,20150623
A214370,20151117
A115450,20100326
A083790,20060106
A033660,20090625
A005880,19920423
A033640,19991211
A048260,20070207
A122450,20110525
A014820,19940329
A071840,20110629
A226950,20180718
A001230,19880509
A020000,19960703
A213420,20150206
A084370,20060117
A042700,20050722
A003230,19750630
A064960,20020311
A300720,20180806
A034310,20040204
A009450,19930831
A089590,20151106
A085620,20150708
A170900,20130408
A048410,20020808
A002320,19740812
A001060,19760614
A090460,20070126
A267270,20170510
A003540,19751001
A192400,20140806
A025980,19950831
A078600,20041210
A041510,20000427
A290510,20191129
A100090,20080801
A049770,20001123
A108670,20090420
A081000,20041222
A131970,20131022
A105630,20090320
A097230,20070831
A092040,20130912
A003380,19960701
A001470,19760626
A206650,20170124
A089980,20110721
A280360,20171030
A067160,20031219
A001880,19771222
A222800,20150807
A012630,19961016
A102710,20090528
A097520,20120725
A298050,20180713
A092190,20200306
A294090,20200914
A018250,20180322
A079550,20151002
A017810,19951005
A182400,20151023
A052690,20091214
A112040,20091218
A048530,20110126
A243070,20160603
A204270,20200304
A206640,20141229
A053800,20010911
A018000,19931124
A005610,19750502
A002350,19760519
A003470,19880121
A007390,19921123
A078130,20041020
A348150,20201118
A031390,19980916
A131290,20110105
A226320,20151228
A001630,19760630
A082640,20091008
A050890,20050708
A298060,20200617
A272450,20171208
A267260,20170510
A042000,20180208
A001820,19760626
A281820,20171205
A008490,19900327
A138080,20140227
A000070,19681227
A214450,20150724
A095610,20080520
A000400,19710416
A319660,20190510
A286940,20180727
A004490,19871128
A036810,20000114
A002840,19890925
A217270,20150618
A008350,19780522
A353200,20200521
A017960,19950708
A025540,19961016
A091700,20061213
A015350,19970623
A298040,20180713
A063160,20011211
A003060,19841019
A068240,20100914
A032620,19970502
A000020,19760324
A200230,20141124
A267980,20170605
A115390,20100128
A035600,20021120
A005180,19780831
A298000,20180713
A036420,20000321
A263050,20181224
A268280,20170522
A003620,19750529
A339770,20201112
A009970,19881107
A009290,19891117
A034830,20010518
A145990,20111205
A078160,20050729
A137400,20120706
A023890,19941116
A123890,20160713
A003070,19780915
A109820,20091106
A195990,20150413
A074600,20031210
A060150,20020611
A030610,19991116
A332570,20200731
A005090,19930106
A086390,20061205
A078070,20090123
A095660,20070702
A030530,19960924
A017390,19950818
A174900,20170918
A027360,20181121
A041140,20000721
A001720,19870824
A000370,19750630
A033290,19971013
A151910,20120802
A053580,20190125
A064550,20051229
A950160,20171106
A166090,20170428
A039840,20000627
A005070,19870928
A032190,19991218
A008730,19880830
A024720,19961024
A010050,19740911
A006390,19751226
A108230,20090915
A100130,20090831
A140860,20151217
A061970,20110131
A950180,20190507
A042040,20030103
A071320,20100129
A232140,20151224
A029960,20040616
A034950,20020205
A175250,20180712
A003530,19861125
A097780,20080123
A059090,20020111
A011280,19881220
A122990,20100910
A002390,19760630
A039560,20000620
A183300,20170323
A145720,20170315
A284620,20180608
A027410,20140519
A215200,20150504
A354200,20201210
A138610,20110713
A249420,20160831
A030520,19960924
A038500,20010130
A009410,19891113
A093050,20061201
A294140,20200228
A215000,20150403
A067000,20080530
A293780,20190612
A065660,20160215
A003800,19960426
A078590,20051027
A060720,20020517
A068400,20120727
A013120,19941222
A121800,20111201
A293480,20181002
A041190,20000607
A053210,20110603
A263720,20170801
A006730,19950929
A222080,20150902
A104830,20111228
A033180,19970930
A322000,20191119
A299660,20190220
A052400,20011016
A272290,20170710
A245620,20180626
A036830,20000114
A014830,20041203
A025860,19951110
A073490,20050202
A214390,20150629
A192440,20141105
A045390,20010515
A102460,20100610
A099190,20130130
A078020,20070221
A046440,20041210
A006060,19910204
A138250,20150327
A001510,19860920
A060980,20100519
A068330,20071226
A321550,20191122
A216080,20191114
A080160,20050726
A051370,20030120
A036930,19991222
A230240,20151216
A004430,19770625
A049070,20020219
A216050,20161031
A089030,20111110
A016710,19991222
A318020,20201203
A214870,20151013
A044340,20001020
A119860,20110124
A121600,20110209
A034120,19990512
A001200,19870824
A002270,19730509
A950200,20200713
A001780,19720317
A005500,19880618
A139670,20111202
A003220,19991215
A096760,20070731
A026890,19971125
A227950,20151118
A317690,20201209
A001430,19910312
A001500,19900609
A253840,20161111
A023410,19940930
A002780,19770625
A004700,19770527
A007460,19950708
A011040,19921211
A038540,20000816
A057500,20011221
A075580,20151130
A244460,20190920
A166480,20150626
A348210,20201008
A084690,20050817
A033310,19971110
A029460,19960902
A330860,20201117
A000140,19730919
A126560,20101223
A238090,20161012
A285490,20181102
A009680,19940114
A002960,19880810
A265520,20170407
A002620,19880120
A052260,20010515
A092220,20061016
A077500,20040805
A064260,20040721
A025770,19980120
A002990,19760626
A095340,20071001
A084110,20061219
A089970,20180823
A950190,20200818
A082920,20091028
A187870,20171220
A084680,20050726
A036630,19991229
A072710,20030730
A043150,20060929
A000480,19780630
A016800,19961224
A122900,20100730
A220630,20150828
A095720,20070531
A100700,20080930
A006840,19990811
A082850,20050729
A093320,20110208
A194700,20181114
A016450,19951113
A002310,19881215
A200710,20141216
A317400,20191106
A087010,20150722
A213500,20150126
A025320,19950413
A102940,20090407
A152330,20151229
A065680,20031229
A002240,19760525
A079430,20051122
A000050,19560303
A195870,20160624
A243840,20170927
A005950,19880428
A004690,19761223
A217600,20150626
A007810,19850909
A052420,20010803
A047920,20151221
A089010,20070117
A016580,19960703
A298690,20181227
A049950,20041230
A289080,20180706
A005420,19870723
A007690,19890805
A052710,20030730
A256940,20161221
A066700,20040524
A058650,20010730
A123040,20100806
A142280,20141217
A344820,20200121
A228670,20190808
A900140,20101130
A304840,20201019
A072520,20041027
A017940,19970827
A001360,19750704
A100120,20090410
A143240,20120221
A033500,19971219
A002210,19900119
A234080,20161027
A005960,19781030
A104700,20080929
A015750,19951028
A101140,20080402
A019680,20040203
A045100,20000829
A101360,20130701
A058400,20101103
A082800,20051118
A189300,20161018
A129890,20201202
A003300,19691120
A214330,20151111
A136480,20110502
A004710,19880706
A205470,20141201
A060570,20031217
A033240,19990106
A297090,20191121
A237880,20161109
A228760,20160719
A061040,20020514
A018290,19940831
A037270,20030801
A131390,20110927
A040910,20110805
A037560,20121109
A044490,20011106
A053610,20010814
A080420,20051206
A001520,19760625
A067170,20031112
A272550,20171129
A017890,19920728
A047310,20030723
A298540,20200727
A010170,19941031
A226330,20191217
A356860,20201214
A161000,20120917
A038290,20000218
A012610,19951005
A038880,20000425
A025000,19941227
A035890,19991222
A317330,20190802
A183190,20131106
A234340,20190712
A092130,20081024
A048870,20040811
A079370,20060201
A083310,20051005
A066590,20030210
A079980,20120223
A001390,19890825
A089600,20130717
A267850,20181123
A002150,20100812
A120240,20101220
A144960,20161130
A091810,20180801
A082740,20110104
A179900,20170927
A241820,20170223
A115180,20160229
A143160,20110926
A002020,19750623
A090850,20131227
A023900,19941116
A093230,20071101
A208340,20181121
A085370,20060704
A058110,20151214
A161580,20170601
A067080,20030212
A053280,20080507
A288330,20191220
A101160,20080619
A102120,20090605
A264450,20170331
A001130,19701125
A036800,20000428
A207760,20141212
A225570,20150925
A352770,20201204
A004380,19890926
A110790,20181001
A012790,19990811
A067310,20051011
A092230,20061012
A251370,20170427
A241840,20190719
A029530,19961224
A118990,20170804
A002810,19880328
A001940,19891113
A148150,20190730
A002100,19770630
A053300,20140204
A047820,20021220
A109610,20151229
A086040,20070921
A136490,20110216
A074430,20040602
A126340,20130701
A045660,20010522
A016590,19951221
A001570,19761217
A101060,20080324
A061250,20020416
A234690,20191014
A007340,19880924
A015860,19900322
A123860,20101105
A199820,20201126
A119610,20100728
A031330,20000519
A306200,20181005
A005720,19871219
A037710,20020207
A052020,20010703
A001530,19640104
A039440,20020226
A084010,20051031
A036890,20000718
A063080,20090730
A067900,20051223
A005390,19751222
A065530,20020531
A031440,20010727
A094280,20071025
A068290,20020805
A003560,19731218
A039860,20000811
A083420,20051020
A156100,20130701
A121440,20110520
A115960,20151102
A036530,20000303
A299030,20201125
A000430,19770622
A044450,20071026
A067290,20030207
A008060,19890126
A100790,20190315
A036200,19991208
A101530,20160511
A288620,20181015
A006620,20180213
A214610,20150622
A001270,19880719
A032300,20200810
A013580,19960130
A017180,20080710
A153710,20181026
A007860,19890909
A200670,20141226
A041830,20001212
A095190,20071029
A086820,20180820
A262260,20200716
A348350,20201030
A009580,19890620
A084650,20130701
A092730,20070130
A033530,19971226
A054950,20060607
A191420,20141106
A229640,20160922
A035810,19991120
A300120,20191018
A043610,20000718
A040350,20020108
A045970,20000801
A051500,20010724
A239610,20161028
A291650,20200916
A111710,20181129
A003120,19850114
A125210,20190329
A331920,20200821
A099320,20080613
A095570,20150821
A200880,20140808
A030790,20001221
A337930,20200813
A290670,20181106
A035510,20001114
A353810,20200605
A005810,19880728
A006490,19850117
A033160,19971110
A220100,20150813
A034810,19990414
A011760,19771201
A091090,20060731
A032850,19970704
A102260,20080623
A078520,20050202
A187420,20150529
A001070,19731228
A236200,20160205
A217330,20181122
A015360,19961224
A080580,20141224
A256840,20151218
A060280,20020628
A123690,20100601
A214180,20150630
A114450,20091222
A270870,20181213
A003920,19780624
A051160,20020524
A006890,19921022
A225530,20151217
A144620,20120405
A000390,19930910
A070960,20160527
A018120,19931222
A082210,20050624
A302550,20180814
A067990,20041201
A248170,20160809
A136540,20110502
A203650,20141013
A065450,20030203
A004310,19780628
A068790,20040924
A023910,19941116
A200780,20141215
A037460,19991214
A019550,19890830
A002900,19730626
A027050,19991208
A004360,19770519
A016610,19880627
A033540,19971226
A104460,20091222
A123420,20101110
A002030,19740603
A067280,20061116
A091120,20070502
A089470,20060925
A151860,20130724
A014620,20010109
A086890,20090203
A269620,20171226
A077360,20051014
A063570,20060714
A203690,20140930
A278650,20191127
A068930,20031015
A017550,19910830
A042370,20000801
A950170,20180406
A000680,19731115
A030210,19961119
A104480,20110426
A126880,20110131
A009520,19971110
A950110,20121217
A214260,20191111
A005680,19761228
A049180,20020521
A033920,19980727
A036030,19991222
A347000,20201029
A086980,20060707
A049960,20021211
A045520,20001201
A019210,19970806
A001790,19681227
A089230,20061010
A054780,20031112
A013030,19891208
A003580,19900323
A003200,19730523
A220260,20150727
A014790,19940812
A000540,19741205
A201490,20161010
A011150,19881126
A003570,19760708
A035080,19990701
A014160,19900306
A126700,20100910
A002720,19751227
A053080,20200924
A012690,19881014
A208640,20141229
A160980,20150617
A004960,19760707
A206400,20141210
A282880,20190805
A005160,19990623
A015890,19960130
A004720,19900615
A023760,19941031
A000970,19691212
A159580,20130219
A003030,19690513
A054670,20020222
A050110,20010515
A002170,19891110
A228850,20160411
A037070,19991229
A251970,20190704
A057880,20031224
A155650,20121115
A053980,20020404
A032820,20000620
A004980,19760630
A263690,20181122
A028100,20090612
A138580,20171130
A077970,20040510
A025750,20031104
A148140,20170116
A004890,20050630
A044820,20020205
A003100,19991218
A012700,19950831
A308170,20191125
A340570,20201120
A023450,19961224
A021320,20010817
A194480,20141006
A090360,20111017
A281740,20171212
A180400,20141215
A302430,20181212
A036190,20001221
A047400,20090929
A131220,20111011
A304100,20200723
A072020,20031029
A127120,20111226
A023160,19940831
A054210,20020507
A071200,20100526
A217730,20151221
A290690,20201106
A001460,19750602
A330350,20200703
A107590,20090302
A301300,20201028
A001540,20000613
A060900,20020913
A099220,20090519
A241790,20161201
A008700,19840811
A239340,20160609
A002800,20170228
A023800,19970623
A023960,19970623
A090350,20060703
A043370,20011211
A138490,20110615
A255440,20170929
A054920,20011030
A011320,19931222
A003350,19780206
A065350,20040804
A014470,19940218
A092070,20071116
A079940,20051019
A092870,20141224
A087260,20170224
A222040,20151216
A142760,20141126
A020120,19960703
A055490,20171031
A078150,20041206
A290550,20181221
A057030,20040604
A038390,20000128
A001250,19760626
A138690,20110602
A091580,20070523
A035610,19990811
A054050,20020329
A064290,20110105
A106240,20090316
A094170,20150630
A054620,20011130
A054450,20041208
A036580,19991025
A024810,19941222
A036120,19991204
A004540,19750625
A065950,20030725
A143210,20161202
A176440,20161128
A039570,20150924
A060590,20020219
A006380,19740528
A083640,20051227
A347740,20200909
A031980,19970107
A215360,20150506
A004270,19891114
A214420,20150710
A065170,20021115
A196490,20141119
A048550,20010116
A034940,19990811
A007660,20000818
A038460,20000620
A256630,20170502
A002630,19761228
A023600,19941019
A013810,19971103
A178780,20150630
A002460,19880929
A007160,19890725
A051490,20010608
A007210,19720104
A041930,20011221
A000490,19750627
A058610,20020719
A185490,20131128
A030960,19961024
A322510,20191211
A053950,20011102
A065130,20030127
A033320,19971110
A009160,19890729
A299900,20181220
A096240,20080627
A100250,20080215
A041910,20040204
A306040,20191118
A102280,20080610
A015590,19890527
A090710,20061205
A352940,20201211
A138360,20131108
A091590,20120131
A114810,20130207
A118000,20091230
A083450,20060201
A311690,20191226
A305090,20190605
A074610,20031223
A067390,20141224
A290720,20181004
A064820,20070529
A014970,19921222
A137950,20110808
A241690,20160920
A080720,20180726
A004150,19720517
A267320,20170622
A290520,20200706
A011370,19940517
A111870,20101105
A007110,19860304
A033200,19971013
A007820,20111108
A065650,20030117
A117580,20101224
A004560,19870324
A037230,19991218
A130580,20111222
A119650,20100129
A001340,19760610
A171120,20131119
A083930,20051011
A002760,19891130
A006740,19960703
A013520,19910222
A041920,20130701
A004970,19760630
A214430,20150730
A003960,19760916
A042420,20000623
A170030,20131204
A104540,20130305
A020760,20020109
A263700,20180328
A258610,20170822
A128820,20100730
A041520,20030702
A073560,20160727
A259630,20170920
A012030,19930106
A260930,20171207
A000180,19760602
A241770,20171206
A299170,20180921
A013870,20121120
A048430,20010109
A025950,19950731
A000700,19560303
A238490,20170720
A312610,20190701
A115160,20091116
A108380,20110708
A037330,19991211
A108490,20181026
A179290,20181129
A089140,20061101
A226360,20151022
A246710,20181128
A094480,20070720
A224060,20151229
A041460,20101119
A215380,20150518
A122310,20180528
A024090,19990818
A057680,20020614
A009460,19871223
A004770,19870422
A072870,20041217
A005320,19961224
A120030,20100219
A110990,20180807
A251630,20170713
A044960,20001114
A046210,20000811
A027740,20001205
A008040,19890624
A094850,20070430
A052330,20010706
A335890,20191203
A241710,20161028
A007540,19760629
A002870,19760630
A021050,19960130
A160550,20141223
A190510,20151112
A100590,20181214
A001260,19761228
A093920,20071220
A003460,19870824
A000520,19850529
A206560,20151222
A008970,19770305
A068050,20060707
A134380,20110215
A000860,19751112
A063170,20080701
A122640,20141229
A261200,20170626
A131030,20101203
A109960,20091113
A347890,20200729
A027710,19960629
A137940,20110614
A083550,20051220
A003160,19960731
A002450,19880930
A038060,20060808
A096040,20080125
A089890,20061108
A039340,20040728
A049080,20131219
A263770,20170406
A130660,20101216
A054800,20010925
A007330,19931130
A042520,20091009
A080000,20050121
A003830,19851223
A282690,20171129
A225220,20150803
A004840,19760521
A210540,20150115
A131400,20101227
A005740,19760630
A009320,19890825
A036560,19991224
A066310,20061124
A096630,20071226
A053590,20010821
A109740,20090923
A066620,20020903
A260660,20180212
A000320,19730810
A205100,20141107
A073110,20071012
A241520,20161219
A004060,19760419
A021080,19910705
A046140,20030203
A163560,20121019
A088290,20091201
A004650,20140730
A051980,20010727
A000230,19750628
A244920,20201120
A000890,19880923
A002700,19750930
A017900,19961016
A149950,20121106
A035150,19990811
A004440,20160330
A002410,19880525
A054220,20011221
A011810,19900912
A265740,20201202
A186230,20131220
A040300,20010831
A094860,20070416
A073640,20040102
A086960,20060926
A014280,19880910
A253590,20180404
A004830,19870925
A011500,20030109
A007720,19931230
A016250,19991224
A014530,19910131
A009470,19861124
A141000,20120504
A018310,19960426
A037950,20000822
A005430,19761228
A299910,20181203
A004250,19690908
A024950,19941228
A078140,20051223
A079960,20050125
A060240,20020102
A000220,19751118
A001750,19880304
A051360,20041117
A042510,20001229
A099750,20190322
A009270,19880824
A068940,20101019
A009190,19940429
A263800,20170803
A043220,20010629
A052670,20020122
A060370,20020208
A011390,19900914
A204620,20141119
A003480,19560303
A014570,20001205
A084730,20060519
A224110,20150825
A012800,19891205
A009200,19900609
A158430,20191017
A290380,20180810
A067570,20131203
A015710,19970930
A067830,20020725
A200470,20141226
A103590,20080801
A089790,20061027
A075180,20051021
A080220,20050125
A078000,20040720
A265560,20171026
A900250,20160128
A104620,20190130
A007680,20171201
A263600,20170828
A289010,20190711
A031820,19970212
A105740,20101112
A071970,20090515
A182360,20131121
A009070,19780929
A013570,19890530
A060850,20200812
A079810,20050124
A038070,20051025
A095910,20071016
A038870,20010525
A046940,20020614
A005990,19990512
A003650,19890927
A010600,19970718
A005360,19740626
A900310,20170810
A004080,19910208
A012860,19941019
A033830,20101129
A056080,20011109
A009440,19941105
A013990,20020115
A100840,20080222
A032560,19970422
A130500,20130802
A090740,20070919
A043200,20000714
A012200,19880706
A034590,20061107
A174880,20160715
A042500,20020108
A150840,20131219
A046120,20100615
A036670,20001229
A106190,20100728
A064800,20020820
A044060,20010116
A229000,20151027
A001840,19941116
A264900,20170411
A024060,19941130
A267290,20170512
A217480,20170302
A060230,20020621
A053690,20090623
A067010,20071218
A122350,20100319
