Symbol,isin
A005930,KR7005930003
A000660,KR7000660001
A051910,KR7051910008
A207940,KR7207940008
A068270,KR7068270008
A035420,KR7035420009
A005380,KR7005380001
A006400,KR7006400006
A035720,KR7035720002
A000270,KR7000270009
A051900,KR7051900009
A091990,KR7091990002
A012330,KR7012330007
A028260,KR7028260008
A005490,KR7005490008
A017670,KR7017670001
A105560,KR7105560007
A036570,KR7036570000
A055550,KR7055550008
A034730,KR7034730002
A096770,KR7096770003
A015760,KR7015760002
A066570,KR7066570003
A032830,KR7032830002
A018260,KR7018260000
A003550,KR7003550001
A326030,KR7326030004
A009150,KR7009150004
A090430,KR7090430000
A033780,KR7033780008
A251270,KR7251270005
A086790,KR7086790003
A011170,KR7011170008
A000810,KR7000810002
A068760,KR7068760008
A018880,KR7018880005
A010950,KR7010950004
A003670,KR7003670007
A019170,KR7019170000
A009540,KR7009540006
A010130,KR7010130003
A009830,KR7009830001
A316140,KR7316140003
A086280,KR7086280005
A024110,KR7024110009
A030200,KR7030200000
A034220,KR7034220004
A006800,KR7006800007
A352820,KR7352820005
A097950,KR7097950000
A096530,KR7096530001
A034020,KR7034020008
A004020,KR7004020004
A032640,KR7032640005
A021240,KR7021240007
A035250,KR7035250000
A271560,KR7271560005
A196170,KR7196170005
A028300,KR7028300002
A161390,KR7161390000
A008930,KR7008930000
A003490,KR7003490000
A267250,KR7267250009
A002790,KR7002790004
A006280,KR7006280002
A000100,KR7000100008
A011200,KR7011200003
A010140,KR7010140002
A285130,KR7285130001
A139480,KR7139480008
A071050,KR7071050009
A000720,KR7000720003
A011780,KR7011780004
A128940,KR7128940004
A029780,KR7029780004
A011070,KR7011070000
A016360,KR7016360000
A000120,KR7000120006
A003410,KR7003410008
A004990,KR7004990008
A180640,KR7180640005
A336260,KR7336260005
A078930,KR7078930005
A293490,KR7293490009
A005940,KR7005940002
A263750,KR7263750002
A005830,KR7005830005
A008770,KR7008770000
A011790,KR7011790003
A247540,KR7247540008
A012750,KR7012750006
A012510,KR7012510004
A032500,KR7032500001
A036490,KR7036490001
A026960,KR7026960005
A039490,KR7039490008
A241560,KR7241560002
A000210,KR7000210005
A006360,KR7006360002
A035760,KR7035760008
A042660,KR7042660001
A023530,KR7023530009
A095700,KR7095700001
A036460,KR7036460004
A003090,KR7003090008
A081660,KR7081660003
A307950,KR7307950006
A007070,KR7007070006
A112610,KR7112610001
A008560,KR7008560005
A028050,KR7028050003
A253450,KR7253450001
A009240,KR7009240003
A047810,KR7047810007
A204320,KR7204320006
A030000,KR7030000004
A001040,KR7001040005
A004170,KR7004170007
A145020,KR7145020004
A006260,KR7006260004
A000080,KR7000080002
A020150,KR7020150009
A088350,KR7088350004
A282330,KR7282330000
A028670,KR7028670008
A240810,KR7240810002
A001450,KR7001450006
A235980,KR7235980000
A007310,KR7007310006
A010620,KR7010620003
A185750,KR7185750007
A003000,KR7003000007
A357780,KR7357780006
A009420,KR7009420001
A000880,KR7000880005
A000060,KR7000060004
A078340,KR7078340007
A237690,KR7237690003
A138930,KR7138930003
A047050,KR7047050000
A064350,KR7064350002
A014680,KR7014680003
A058470,KR7058470006
A047040,KR7047040001
A004370,KR7004370003
A010120,KR7010120004
A042670,KR7042670000
A005250,KR7005250006
A005290,KR7005290002
A294870,KR7294870001
A039200,KR7039200001
A004800,KR7004800009
A278280,KR7278280003
A017800,KR7017800004
A069960,KR7069960003
A002380,KR7002380004
A272210,KR7272210006
A200130,KR7200130003
A010060,KR7010060002
A141080,KR7141080002
A066970,KR7066970005
A010780,KR7010780005
A140410,KR7140410002
A069620,KR7069620003
A000990,KR7000990002
A000250,KR7000250001
A060250,KR7060250008
A336370,KR7336370002
A003520,KR7003520004
A111770,KR7111770004
A006650,KR7006650006
A034230,KR7034230003
A268600,KR7268600004
A013890,KR7013890009
A181710,KR7181710005
A012450,KR7012450003
A000240,KR7000240002
A004000,KR7004000006
A138040,KR7138040001
A035900,KR7035900000
A051600,KR7051600005
A098460,KR7098460009
A011210,KR7011210002
A056190,KR7056190002
A007700,KR7007700008
A086900,KR7086900008
A067630,KR7067630004
A298380,KR7298380007
A039030,KR7039030002
A030190,KR7030190003
A084850,KR7084850007
A005690,KR7005690003
A139130,KR7139130009
A214320,KR7214320004
A064760,KR7064760002
A323990,KR7323990002
A001440,KR7001440007
A069080,KR7069080000
A007570,KR7007570005
A175330,KR7175330000
A006120,KR7006120000
A046890,KR7046890000
A086450,KR7086450004
A001740,KR7001740000
A032350,KR7032350001
A031430,KR7031430002
A016380,KR7016380008
A073240,KR7073240004
A011000,KR7011000007
A178920,KR7178920005
A084990,KR7084990001
A192080,KR7192080000
A022100,KR7022100002
A120110,KR7120110002
A085660,KR7085660009
A086520,KR7086520004
A161890,KR7161890009
A114090,KR7114090004
A003690,KR7003690005
A271980,KR7271980005
A214150,KR7214150005
A020560,KR7020560009
A057050,KR7057050007
A088800,KR7088800008
A005300,KR7005300009
A000670,KR7000670000
A018670,KR7018670000
A069260,KR7069260008
A023590,KR7023590003
A001120,KR7001120005
A192820,KR7192820009
A218410,KR7218410009
A093370,KR7093370005
A101490,KR7101490001
A028150,KR7028150001
A009900,KR7009900002
A082270,KR7082270000
A003850,KR7003850005
A183490,KR7183490002
A001680,KR7001680008
A053030,KR7053030003
A363280,KR7363280009
A284740,KR7284740008
A178320,KR7178320008
A041960,KR7041960006
A000150,KR7000150003
A036540,KR7036540003
A215600,KR7215600008
A025900,KR7025900002
A108320,KR7108320003
A144510,KR7144510005
A122870,KR7122870009
A079160,KR7079160008
A241590,KR7241590009
A005440,KR7005440003
A001800,KR7001800002
A003240,KR7003240009
A033270,KR7033270000
A058820,KR7058820002
A950130,KR8840090003
A192650,KR7192650000
A131370,KR7131370009
A006040,KR7006040000
A230360,KR7230360000
A298020,KR7298020009
A005850,KR7005850003
A290650,KR7290650001
A103140,KR7103140000
A011930,KR7011930005
A000640,KR7000640003
A039130,KR7039130000
A210980,KR7210980009
A214370,KR7214370009
A115450,KR7115450009
A083790,KR7083790006
A033660,KR7033660002
A005880,KR7005880000
A033640,KR7033640004
A048260,KR7048260004
A122450,KR7122450000
A014820,KR7014820005
A071840,KR7071840003
A226950,KR7226950004
A001230,KR7001230002
A020000,KR7020000006
A213420,KR7213420003
A084370,KR7084370006
A042700,KR7042700005
A003230,KR7003230000
A064960,KR7064960008
A300720,KR7300720000
A034310,KR7034310003
A009450,KR7009450008
A089590,KR7089590004
A085620,KR7085620003
A170900,KR7170900005
A048410,KR7048410005
A002320,KR7002320000
A001060,KR7001060003
A090460,KR7090460007
A267270,KR7267270007
A003540,KR7003540002
A192400,KR7192400000
A025980,KR7025980004
A078600,KR7078600004
A041510,KR7041510009
A290510,KR7290510007
A100090,KR7100090000
A049770,KR7049770001
A108670,KR7108670001
A081000,KR7081000002
A131970,KR7131970006
A105630,KR7105630008
A097230,KR7097230007
A092040,KR7092040005
A003380,KR7003380003
A001470,KR7001470004
A206650,KR7206650004
A089980,KR7089980007
A280360,KR7280360009
A067160,KR7067160002
A001880,KR7001880004
A222800,KR7222800005
A012630,KR7012630000
A102710,KR7102710001
A097520,KR7097520001
A298050,KR7298050006
A092190,KR7092190008
A294090,KR7294090006
A018250,KR7018250001
A079550,KR7079550000
A017810,KR7017810003
A182400,KR7182400002
A052690,KR7052690005
A112040,KR7112040001
A048530,KR7048530000
A243070,KR7243070000
A204270,KR7204270003
A206640,KR7206640005
A053800,KR7053800009
A018000,KR7018000000
A005610,KR7005610001
A002350,KR7002350007
A003470,KR7003470002
A007390,KR7007390008
A078130,KR7078130002
A348150,KR7348150004
A031390,KR7031390008
A131290,KR7131290009
A226320,KR7226320000
A001630,KR7001630003
A082640,KR7082640004
A050890,KR7050890003
A298060,KR7298060005
A272450,KR7272450008
A267260,KR7267260008
A042000,KR7042000000
A001820,KR7001820000
A281820,KR7281820001
A008490,KR7008490005
A138080,KR7138080007
A000070,KR7000070003
A214450,KR7214450009
A095610,KR7095610002
A000400,KR7000400002
A319660,KR7319660007
A286940,KR7286940002
A004490,KR7004490009
A036810,KR7036810000
A002840,KR7002840007
A217270,KR7217270008
A008350,KR7008350001
A353200,KR7353200009
A017960,KR7017960006
A025540,KR7025540006
A091700,KR7091700005
A015350,KR7015350002
A298040,KR7298040007
A063160,KR7063160006
A003060,KR7003060001
A068240,KR7068240001
A032620,KR7032620007
A000020,KR7000020008
A200230,KR7200230001
A267980,KR7267980001
A115390,KR7115390007
A035600,KR7035600006
A005180,KR7005180005
A298000,KR7298000001
A036420,KR7036420008
A263050,KR7263050007
A268280,KR7268280005
A003620,KR7003620002
A339770,KR7339770000
A009970,KR7009970005
A009290,KR7009290008
A034830,KR7034830000
A145990,KR7145990008
A078160,KR7078160009
A137400,KR7137400008
A023890,KR7023890007
A123890,KR7123890006
A003070,KR7003070000
A109820,KR7109820001
A195990,KR7195990007
A074600,KR7074600008
A060150,KR7060150000
A030610,KR7030610000
A332570,KR7332570001
A005090,KR7005090006
A086390,KR7086390002
A078070,KR7078070000
A095660,KR7095660007
A030530,KR7030530000
A017390,KR7017390006
A174900,KR7174900001
A027360,KR7027360007
A041140,KR7041140005
A001720,KR7001720002
A000370,KR7000370007
A033290,KR7033290008
A151910,KR7151910007
A053580,KR7053580007
A064550,KR7064550007
A950160,KR8840120008
A166090,KR7166090001
A039840,KR7039840004
A005070,KR7005070008
A032190,KR7032190001
A008730,KR7008730004
A024720,KR7024720005
A010050,KR7010050003
A006390,KR7006390009
A108230,KR7108230004
A100130,KR7100130004
A140860,KR7140860008
A061970,KR7061970000
A950180,KR8392100002
A042040,KR7042040006
A071320,KR7071320006
A232140,KR7232140004
A029960,KR7029960002
A034950,KR7034950006
A175250,KR7175250000
A003530,KR7003530003
A097780,KR7097780001
A059090,KR7059090001
A011280,KR7011280005
A122990,KR7122990005
A002390,KR7002390003
A039560,KR7039560008
A183300,KR7183300003
A145720,KR7145720009
A284620,KR7284620002
A027410,KR7027410000
A215200,KR7215200007
A354200,KR7354200008
A138610,KR7138610001
A249420,KR7249420001
A030520,KR7030520001
A038500,KR7038500005
A009410,KR7009410002
A093050,KR7093050003
A294140,KR7294140009
A215000,KR7215000001
A067000,KR7067000000
A293780,KR7293780003
A065660,KR7065660003
A003800,KR7003800000
A078590,KR7078590007
A060720,KR7060720000
A068400,KR7068400001
A013120,KR7013120001
A121800,KR7121800007
A293480,KR7293480000
A041190,KR7041190000
A053210,KR7053210001
A263720,KR7263720005
A006730,KR7006730006
A222080,KR7222080004
A104830,KR7104830005
A033180,KR7033180001
A322000,KR7322000001
A299660,KR7299660001
A052400,KR7052400009
A272290,KR7272290008
A245620,KR7245620000
A036830,KR7036830008
A014830,KR7014830004
A025860,KR7025860008
A073490,KR7073490005
A214390,KR7214390007
A192440,KR7192440006
A045390,KR7045390002
A102460,KR7102460003
A099190,KR7099190001
A078020,KR7078020005
A046440,KR7046440004
A006060,KR7006060008
A138250,KR7138250006
A001510,KR7001510007
A060980,KR7060980000
A068330,KR7068330000
A321550,KR7321550006
A216080,KR7216080002
A080160,KR7080160005
A051370,KR7051370005
A036930,KR7036930006
A230240,KR7230240004
A004430,KR7004430005
A049070,KR7049070006
A216050,KR7216050005
A089030,KR7089030001
A016710,KR7016710006
A318020,KR7318020005
A214870,KR7214870008
A044340,KR7044340008
A119860,KR7119860005
A121600,KR7121600001
A034120,KR7034120006
A001200,KR7001200005
A002270,KR7002270007
A950200,KR8840150005
A001780,KR7001780006
A005500,KR7005500004
A139670,KR7139670004
A003220,KR7003220001
A096760,KR7096760004
A026890,KR7026890004
A227950,KR7227950003
A317690,KR7317690006
A001430,KR7001430008
A001500,KR7001500008
A253840,KR7253840003
A023410,KR7023410004
A002780,KR7002780005
A004700,KR7004700001
A007460,KR7007460009
A011040,KR7011040003
A038540,KR7038540001
A057500,KR7057500001
A075580,KR7075580001
A244460,KR7244460002
A166480,KR7166480004
A348210,KR7348210006
A084690,KR7084690007
A033310,KR7033310004
A029460,KR7029460003
A330860,KR7330860008
A000140,KR7000140004
A126560,KR7126560002
A238090,KR7238090005
A285490,KR7285490009
A009680,KR7009680000
A002960,KR7002960003
A265520,KR7265520007
A002620,KR7002620003
A052260,KR7052260007
A092220,KR7092220003
A077500,KR7077500007
A064260,KR7064260003
A025770,KR7025770009
A002990,KR7002990000
A095340,KR7095340006
A084110,KR7084110006
A089970,KR7089970008
A950190,KR8344390008
A082920,KR7082920000
A187870,KR7187870001
A084680,KR7084680008
A036630,KR7036630002
A072710,KR7072710007
A043150,KR7043150002
A000480,KR7000480004
A016800,KR7016800005
A122900,KR7122900004
A220630,KR7220630008
A095720,KR7095720009
A100700,KR7100700004
A006840,KR7006840003
A082850,KR7082850009
A093320,KR7093320000
A194700,KR7194700001
A016450,KR7016450009
A002310,KR7002310001
A200710,KR7200710002
A317400,KR7317400000
A087010,KR7087010005
A213500,KR7213500002
A025320,KR7025320003
A102940,KR7102940004
A152330,KR7152330007
A065680,KR7065680001
A002240,KR7002240000
A079430,KR7079430005
A000050,KR7000050005
A195870,KR7195870001
A243840,KR7243840006
A005950,KR7005950001
A004690,KR7004690004
A217600,KR7217600006
A007810,KR7007810005
A052420,KR7052420007
A047920,KR7047920004
A089010,KR7089010003
A016580,KR7016580003
A298690,KR7298690009
A049950,KR7049950009
A289080,KR7289080004
A005420,KR7005420005
A007690,KR7007690001
A052710,KR7052710001
A256940,KR7256940008
A066700,KR7066700006
A058650,KR7058650003
A123040,KR7123040008
A142280,KR7142280007
A344820,KR7344820006
A228670,KR7228670006
A900140,KYG5307W1015
A304840,KR7304840002
A072520,KR7072520000
A017940,KR7017940008
A001360,KR7001360007
A100120,KR7100120005
A143240,KR7143240000
A033500,KR7033500000
A002210,KR7002210003
A234080,KR7234080000
A005960,KR7005960000
A104700,KR7104700000
A015750,KR7015750003
A101140,KR7101140002
A019680,KR7019680008
A045100,KR7045100005
A101360,KR7101360006
A058400,KR7058400003
A082800,KR7082800004
A189300,KR7189300007
A129890,KR7129890000
A003300,KR7003300001
A214330,KR7214330003
A136480,KR7136480001
A004710,KR7004710000
A205470,KR7205470008
A060570,KR7060570009
A033240,KR7033240003
A297090,KR7297090003
A237880,KR7237880000
A228760,KR7228760005
A061040,KR7061040002
A018290,KR7018290007
A037270,KR7037270006
A131390,KR7131390007
A040910,KR7040910002
A037560,KR7037560000
A044490,KR7044490001
A053610,KR7053610002
A080420,KR7080420003
A001520,KR7001520006
A067170,KR7067170001
A272550,KR7272550005
A017890,KR7017890005
A047310,KR7047310008
A298540,KR7298540006
A010170,KR7010170009
A226330,KR7226330009
A356860,KR7356860007
A161000,KR7161000005
A038290,KR7038290003
A012610,KR7012610002
A038880,KR7038880001
A025000,KR7025000001
A035890,KR7035890003
A317330,KR7317330009
A183190,KR7183190008
A234340,KR7234340008
A092130,KR7092130004
A048870,KR7048870000
A079370,KR7079370003
A083310,KR7083310003
A066590,KR7066590001
A079980,KR7079980009
A001390,KR7001390004
A089600,KR7089600001
A267850,KR7267850006
A002150,KR7002150001
A120240,KR7120240007
A144960,KR7144960002
A091810,KR7091810002
A082740,KR7082740002
A179900,KR7179900006
A241820,KR7241820000
A115180,KR7115180002
A143160,KR7143160000
A002020,KR7002020006
A090850,KR7090850009
A023900,KR7023900004
A093230,KR7093230001
A208340,KR7208340000
A085370,KR7085370005
A058110,KR7058110008
A161580,KR7161580006
A067080,KR7067080002
A053280,KR7053280004
A288330,KR7288330004
A101160,KR7101160000
A102120,KR7102120003
A264450,KR7264450008
A001130,KR7001130004
A036800,KR7036800001
A207760,KR7207760000
A225570,KR7225570001
A352770,KR7352770002
A004380,KR7004380002
A110790,KR7110790003
A012790,KR7012790002
A067310,KR7067310003
A092230,KR7092230002
A251370,KR7251370003
A241840,KR7241840008
A029530,KR7029530003
A118990,KR7118990001
A002810,KR7002810000
A001940,KR7001940006
A148150,KR7148150006
A002100,KR7002100006
A053300,KR7053300000
A047820,KR7047820006
A109610,KR7109610006
A086040,KR7086040003
A136490,KR7136490000
A074430,KR7074430000
A126340,KR7126340009
A045660,KR7045660008
A016590,KR7016590002
A001570,KR7001570001
A101060,KR7101060002
A061250,KR7061250007
A234690,KR7234690006
A007340,KR7007340003
A015860,KR7015860000
A123860,KR7123860009
A199820,KR7199820002
A119610,KR7119610004
A031330,KR7031330004
A306200,KR7306200007
A005720,KR7005720008
A037710,KR7037710001
A052020,KR7052020005
A001530,KR7001530005
A039440,KR7039440003
A084010,KR7084010008
A036890,KR7036890002
A063080,KR7063080006
A067900,KR7067900001
A005390,KR7005390000
A065530,KR7065530008
A031440,KR7031440001
A094280,KR7094280005
A068290,KR7068290006
A003560,KR7003560000
A039860,KR7039860002
A083420,KR7083420000
A156100,KR7156100000
A121440,KR7121440002
A115960,KR7115960007
A036530,KR7036530004
A299030,KR7299030007
A000430,KR7000430009
A044450,KR7044450005
A067290,KR7067290007
A008060,KR7008060006
A100790,KR7100790005
A036200,KR7036200004
A101530,KR7101530004
A288620,KR7288620008
A006620,KR7006620009
A214610,KR7214610008
A001270,KR7001270008
A032300,KR7032300006
A013580,KR7013580006
A017180,KR7017180001
A153710,KR7153710009
A007860,KR7007860000
A200670,KR7200670008
A041830,KR7041830001
A095190,KR7095190005
A086820,KR7086820008
A262260,KR7262260003
A348350,KR7348350000
A009580,KR7009580002
A084650,KR7084650001
A092730,KR7092730001
A033530,KR7033530007
A054950,KR7054950001
A191420,KR7191420009
A229640,KR7229640008
A035810,KR7035810001
A300120,KR7300120003
A043610,KR7043610005
A040350,KR7040350001
A045970,KR7045970001
A051500,KR7051500007
A239610,KR7239610009
A291650,KR7291650000
A111710,KR7111710000
A003120,KR7003120003
A125210,KR7125210005
A331920,KR7331920009
A099320,KR7099320004
A095570,KR7095570008
A200880,KR7200880003
A030790,KR7030790000
A337930,KR7337930002
A290670,KR7290670009
A035510,KR7035510007
A353810,KR7353810005
A005810,KR7005810007
A006490,KR7006490007
A033160,KR7033160003
A220100,KR7220100002
A034810,KR7034810002
A011760,KR7011760006
A091090,KR7091090001
A032850,KR7032850000
