,std_dt,ticker,kospi200
0,20000104,A000010,Y
1,20040331,A000010,N
2,20000104,A000020,Y
3,20040611,A000020,N
4,20070615,A000020,Y
5,20110610,A000020,N
6,20000104,A000030,Y
7,20001219,A000030,N
8,20141119,A000030,N
9,20141120,A000030,Y
10,20000104,A000040,N
11,20000104,A000050,N
12,20040611,A000050,Y
13,20050610,A000050,N
14,20080613,A000050,Y
15,20130614,A000050,N
16,20150612,A000050,Y
17,20180615,A000050,N
18,20000104,A000060,N
19,20000104,A000070,Y
20,20000104,A000080,N
21,20091019,A000080,N
22,20110610,A000080,Y
23,20000104,A000100,Y
24,20000104,A000110,N
25,20000104,A000120,N
26,20090612,A000120,Y
27,20000104,A000140,Y
28,20170609,A000140,N
29,20000104,A000150,Y
30,20000104,A000180,Y
31,20000609,A000180,N
32,20020617,A000180,Y
33,20040611,A000180,N
34,20000104,A000200,N
35,20000104,A000210,Y
36,20000104,A000220,N
37,20000104,A000230,N
38,20060609,A000230,Y
39,20110610,A000230,N
40,20150612,A000230,Y
41,20170609,A000230,N
42,20000104,A000240,Y
43,20001004,A000250,N
44,20000104,A000270,N
45,20000609,A000270,Y
46,20000104,A000280,Y
47,20001102,A000280,N
48,20000104,A000300,N
49,20000104,A000310,N
50,20000104,A000320,N
51,20010615,A000320,Y
52,20070615,A000320,N
53,20000104,A000360,Y
54,20000609,A000360,N
55,20000104,A000370,N
56,20000104,A000380,N
57,20000104,A000390,Y
58,20000609,A000390,N
59,20010615,A000390,Y
60,20060609,A000390,N
61,20000104,A000400,N
62,20000104,A000420,Y
63,20000609,A000420,N
64,20000104,A000430,N
65,20040611,A000430,Y
66,20080613,A000430,N
67,20120615,A000430,Y
68,20150612,A000430,N
69,20000104,A000440,N
70,20000104,A000470,N
71,20000104,A000480,N
72,20011029,A000480,Y
73,20060609,A000480,N
74,20070615,A000480,Y
75,20130614,A000480,N
76,20140627,A000480,Y
77,20160610,A000480,N
78,20000104,A000490,N
79,20000104,A000500,N
80,20000104,A000520,N
81,20000104,A000540,N
82,20000104,A000590,N
83,20000104,A000610,N
84,20000104,A000640,Y
85,20201211,A000640,N
86,20000104,A000650,N
87,20000104,A000660,Y
88,20000104,A000670,N
89,20040611,A000670,Y
90,20000104,A000680,N
91,20000104,A000700,Y
92,20140912,A000700,N
93,20000104,A000720,Y
94,20010402,A000720,N
95,20020617,A000720,Y
96,20000104,A000760,Y
97,20030613,A000760,N
98,20000104,A000810,N
99,20000609,A000810,Y
100,20000104,A000830,Y
101,20150901,A000830,N
102,20000104,A000840,N
103,20000104,A000850,N
104,20000104,A000860,N
105,20000104,A000880,Y
106,20000104,A000890,N
107,20000104,A000900,Y
108,20000104,A000910,N
109,20000104,A000950,N
110,20030613,A000950,Y
111,20040102,A000950,N
112,20000104,A000970,N
113,20020617,A000970,Y
114,20040611,A000970,N
115,20000104,A000990,Y
116,20150612,A000990,N
117,20160610,A000990,Y
118,20000104,A001000,N
119,20000104,A001020,Y
120,20000609,A001020,N
121,20030613,A001020,Y
122,20040611,A001020,N
123,20000104,A001030,N
124,20000104,A001040,Y
125,20000104,A001060,Y
126,20110610,A001060,N
127,20160610,A001060,Y
128,20000104,A001070,N
129,20000104,A001080,N
130,20000104,A001120,N
131,20030401,A001120,Y
132,20000104,A001130,N
133,20040611,A001130,Y
134,20130614,A001130,N
135,20000104,A001140,N
136,20000104,A001150,Y
137,20000609,A001150,N
138,20000104,A001190,N
139,20000104,A001200,Y
140,20000609,A001200,N
141,20000104,A001210,N
142,20000609,A001210,Y
143,20120615,A001210,N
144,20000104,A001230,Y
145,20030423,A001230,N
146,20040611,A001230,Y
147,20000104,A001250,N
148,20000104,A001260,N
149,20000104,A001270,N
150,20000104,A001280,N
151,20000104,A001290,N
152,20000104,A001300,Y
153,20140627,A001300,N
154,20000104,A001340,N
155,20000104,A001350,N
156,20000104,A001360,N
157,20000104,A001370,N
158,20030613,A001370,Y
159,20090612,A001370,N
160,20000104,A001380,N
161,20000104,A001390,N
162,20000104,A001400,N
163,20000104,A001420,N
164,20000104,A001430,N
165,20040611,A001430,Y
166,20201211,A001430,N
167,20000104,A001440,Y
168,20150414,A001440,N
169,20000104,A001450,N
170,20161017,A001450,Y
171,20000104,A001460,N
172,20000104,A001470,N
173,20000104,A001500,N
174,20000104,A001510,Y
175,20030613,A001510,N
176,20040331,A001510,Y
177,20040611,A001510,N
178,20000104,A001520,Y
179,20030613,A001520,N
180,20050610,A001520,Y
181,20131002,A001520,N
182,20160610,A001520,Y
183,20200612,A001520,N
184,20000104,A001530,N
185,20000615,A001540,N
186,20000104,A001550,N
187,20051209,A001560,N
188,20000104,A001570,N
189,20010615,A001570,Y
190,20030613,A001570,N
191,20000104,A001580,N
192,20000104,A001600,N
193,20000104,A001620,N
194,20010615,A001620,Y
195,20020617,A001620,N
196,20030423,A001620,Y
197,20030613,A001620,N
198,20000104,A001630,Y
199,20030613,A001630,N
200,20050610,A001630,Y
201,20140613,A001630,N
202,20000104,A001670,N
203,20000104,A001680,Y
204,20000104,A001690,N
205,20010416,A001690,Y
206,20011227,A001690,N
207,20000104,A001720,Y
208,20000609,A001720,N
209,20000104,A001740,N
210,20000609,A001740,Y
211,20030401,A001740,N
212,20060609,A001740,Y
213,20000104,A001750,N
214,20000104,A001770,N
215,20000104,A001780,N
216,20070607,A001780,N
217,20161228,A001780,Y
218,20170915,A001780,N
219,20000104,A001790,Y
220,20030613,A001790,N
221,20090612,A001790,Y
222,20110610,A001790,N
223,20000104,A001800,Y
224,20000104,A001810,N
225,20000104,A001820,N
226,20020325,A001820,Y
227,20020617,A001820,N
228,20000104,A001830,Y
229,20070427,A001830,N
230,20000104,A001840,N
231,20000104,A001880,N
232,20000104,A001920,N
233,20000104,A001940,Y
234,20110610,A001940,N
235,20000104,A001950,N
236,20000104,A001980,N
237,20001102,A001980,Y
238,20020617,A001980,N
239,20000104,A002000,Y
240,20050401,A002000,N
241,20060609,A002000,Y
242,20090612,A002000,N
243,20000104,A002020,Y
244,20150313,A002020,N
245,20000104,A002030,Y
246,20120615,A002030,N
247,20000104,A002050,N
248,20000104,A002070,N
249,20000104,A002080,N
250,20000104,A002100,N
251,20000104,A002130,N
252,20000104,A002140,N
253,20100812,A002150,N
254,20000104,A002170,Y
255,20000609,A002170,N
256,20000104,A002180,N
257,20000104,A002200,Y
258,20030613,A002200,N
259,20000104,A002210,N
260,20000104,A002220,N
261,20000104,A002230,N
262,20000104,A002240,N
263,20030613,A002240,Y
264,20200911,A002240,N
265,20000104,A002250,N
266,20010928,A002250,Y
267,20030613,A002250,N
268,20000104,A002270,N
269,20020617,A002270,Y
270,20201211,A002270,N
271,20000104,A002290,N
272,20000104,A002300,Y
273,20110610,A002300,N
274,20000104,A002310,Y
275,20010615,A002310,N
276,20000104,A002320,N
277,20000104,A002350,N
278,20000830,A002350,Y
279,20000104,A002360,N
280,20000104,A002380,Y
281,20000104,A002390,N
282,20040611,A002390,Y
283,20070615,A002390,N
284,20090612,A002390,Y
285,20110610,A002390,N
286,20000104,A002410,N
287,20000104,A002420,N
288,20000104,A002450,N
289,20000104,A002460,N
290,20000104,A002530,N
291,20000104,A002540,N
292,20031014,A002540,Y
293,20040611,A002540,N
294,20000104,A002550,N
295,20000104,A002600,N
296,20000104,A002610,Y
297,20030227,A002610,N
298,20000104,A002620,N
299,20160610,A002620,Y
300,20170915,A002620,N
301,20000104,A002630,N
302,20060609,A002630,Y
303,20080613,A002630,N
304,20000104,A002670,N
305,20000104,A002680,N
306,20150924,A002690,N
307,20000104,A002700,N
308,20000104,A002710,N
309,20000104,A002720,N
310,20000104,A002740,Y
311,20010416,A002740,N
312,20000104,A002760,N
313,20000104,A002780,N
314,20000104,A002790,Y
315,20170228,A002800,N
316,20000104,A002810,N
317,20000104,A002820,N
318,20000104,A002840,N
319,20000104,A002850,N
320,20000104,A002860,N
321,20021216,A002860,Y
322,20051212,A002860,N
323,20000104,A002870,N
324,20000104,A002880,N
325,20000104,A002900,N
326,20011227,A002900,Y
327,20020617,A002900,N
328,20000104,A002920,N
329,20000104,A002930,N
330,20000104,A002940,N
331,20000104,A002950,N
332,20010305,A002950,Y
333,20020617,A002950,N
334,20000104,A002960,Y
335,20000609,A002960,N
336,20110610,A002960,Y
337,20200612,A002960,N
338,20000104,A002990,Y
