,SP500,KOSPI,KOSPI200,riskfreeasset,portfolio
기간수익률,1.36512,2.55662,2.76725,0.754653,31.395800
연수익률(ret),0.0465342,0.0693388,0.072595,0.0301546,0.201739
연변동성(std),0.144833,0.198032,0.199759,0.003879,0.207470
최대낙폭(MDD),0.525559,0.485178,0.469818,0,0.443165
손실최장기간(UWP),64,71,72,0,31
손실고통크기(UWS),13.9794,8.72965,8.70278,0.000000,4.865750
샤프비율(bySTD),0.321295,0.350140,0.363411,7.77299,0.972375
김씨비율(byMDD),0.088542,0.142914,0.154516,inf,0.455222
김씨비율(byUWP),0.0727096,0.097660,0.100826,inf,0.650770
김씨비율(byUWS),0.332876,0.794291,0.834153,-inf,4.1461
